table_name,constraint_name,constraint_type,column_name
episodes,episodes_season_id_episode_number_key,UNIQUE,season_id
episodes,episodes_pkey,PRIMARY KEY,id
episodes,episodes_season_id_fkey,FOREIGN KEY,season_id
episodes,episodes_season_id_episode_number_key,UNIQUE,episode_number
seasons,seasons_show_id_fkey,FOREIGN KEY,show_id
seasons,seasons_pkey,PRIMARY KEY,id
seasons,seasons_show_id_season_number_key,UNIQUE,show_id
seasons,seasons_show_id_season_number_key,UNIQUE,season_number
show_availability,show_availability_service_id_fkey,FOREIGN KEY,service_id
show_availability,show_availability_show_id_fkey,FOREIGN KEY,show_id
show_availability,show_availability_show_id_service_id_country_code_availabil_key,UNIQUE,show_id
show_availability,show_availability_pkey,PRIMARY KEY,id
show_availability,show_availability_show_id_service_id_country_code_availabil_key,UNIQUE,service_id
show_availability,show_availability_show_id_service_id_country_code_availabil_key,UNIQUE,country_code
show_availability,show_availability_show_id_service_id_country_code_availabil_key,UNIQUE,availability_type
shows,shows_tmdb_id_key,UNIQUE,tmdb_id
shows,shows_pkey,PRIMARY KEY,id
streaming_services,streaming_services_pkey,PRIMARY KEY,id
streaming_services,streaming_services_tmdb_provider_id_key,UNIQUE,tmdb_provider_id
user_episode_progress,user_episode_progress_show_id_fkey,FOREIGN KEY,show_id
user_episode_progress,user_episode_progress_pkey,PRIMARY KEY,id
user_episode_progress,user_episode_progress_user_id_episode_id_key,UNIQUE,user_id
user_episode_progress,user_episode_progress_user_id_fkey,FOREIGN KEY,user_id
user_episode_progress,user_episode_progress_episode_id_fkey,FOREIGN KEY,episode_id
user_episode_progress,user_episode_progress_user_show_episode_key,UNIQUE,user_id
user_episode_progress,user_episode_progress_user_show_episode_key,UNIQUE,show_id
user_episode_progress,user_episode_progress_user_id_episode_id_key,UNIQUE,episode_id
user_episode_progress,user_episode_progress_user_show_episode_key,UNIQUE,episode_id
user_season_ratings,user_season_ratings_user_id_fkey,FOREIGN KEY,user_id
user_season_ratings,user_season_ratings_pkey,PRIMARY KEY,id
user_season_ratings,user_season_ratings_user_id_season_id_key,UNIQUE,user_id
user_season_ratings,user_season_ratings_season_id_fkey,FOREIGN KEY,season_id
user_season_ratings,user_season_ratings_user_id_season_id_key,UNIQUE,season_id
user_shows,user_shows_user_id_fkey,FOREIGN KEY,user_id
user_shows,user_shows_user_show_unique,UNIQUE,user_id
user_shows,user_shows_last_episode_watched_id_fkey,FOREIGN KEY,last_episode_watched_id
user_shows,user_shows_show_id_fkey,FOREIGN KEY,show_id
user_shows,user_shows_user_id_show_id_key,UNIQUE,user_id
user_shows,user_shows_pkey,PRIMARY KEY,id
user_shows,user_shows_selected_service_id_fkey,FOREIGN KEY,selected_service_id
user_shows,user_shows_user_show_unique,UNIQUE,show_id
user_shows,user_shows_user_id_show_id_key,UNIQUE,show_id
user_streaming_subscriptions,user_streaming_subscriptions_user_id_fkey,FOREIGN KEY,user_id
user_streaming_subscriptions,user_streaming_subscriptions_pkey,PRIMARY KEY,id
user_streaming_subscriptions,user_streaming_subscriptions_user_id_service_id_key,UNIQUE,user_id
user_streaming_subscriptions,user_streaming_subscriptions_service_id_fkey,FOREIGN KEY,service_id
user_streaming_subscriptions,user_streaming_subscriptions_user_id_service_id_key,UNIQUE,service_id
users,users_pkey,PRIMARY KEY,id
users,users_pkey,PRIMARY KEY,id
users,users_email_key,UNIQUE,email